Last updated: 6/29/2020,Cases,,Hospitalizations,,Deaths,
Sex,N=16226,,N=1995,,N=946,
Female,"8,940",56%,914,46%,505,53%
Male,"7,143",44%,1069,54%,441,47%
Pending further information,143,--,12,--,0,--
Age Group,,,,,,
0-9,419,3%,14,1%,0,0%
10-19,825,5%,20,1%,<5,--
20-29,"2,514",15%,90,5%,<5,--
30-39,"2,558",16%,142,7%,6,1%
40-49,"2,464",15%,227,11%,11,1%
50-59,"2,525",16%,323,16%,42,4%
60-69,"1,803",11%,406,20%,91,10%
70-79,1207,7%,382,19%,233,25%
80-89,1127,7%,270,14%,303,32%
90-99,729,4%,109,5%,236,25%
100+,54,<1%,6,<1%,22,2%
Pending further information,<5,--,6,--,0,--
Race and Ethnicity,,,,,,
Hispanic/Latinx (any race),"5,829",46%,544,34%,81,11%
Black (non-Hispanic or ethnicity unknown),1573,12%,184,12%,47,6%
White (non-Hispanic or ethnicity unknown),"4,534",36%,758,47%,629,82%
Other race (non-Hispanic or ethnicity unknown),453,4%,49,3%,12,2%
Multiple races (non-Hispanic or ethnicity unknown),364,3%,63,4%,0,0%
"Unknown, declined, or pending further information","3,473",--,397,--,177,--
Source: RIDOH,,,,,,
"-- Percentages for counts of less than five are not shown. Percentages do not include cases with unknown or declined demographics or those that are pending further information. COVID-19 cases and COVID-19 involved deaths exclude out of state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents. ",,,,,,
