Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId,Recoveries,Recoveries_Percentage
Male,3232,50.5%,424,51.5%,542,49.8%,138,51.3%,2097,50.5%,136,55.3%,27,61.4%,1,1060,48.3%
Female,3160,49.4%,400,48.5%,547,50.2%,131,48.7%,2056,49.5%,110,44.7%,17,38.6%,2,1133,51.7%
Unknown Sex,3,0.0%,0,0.0%,0,0.0%,0,0.0%,3,0.1%,0,0.0%,0,0.0%,3,0,0.0%
<10 Years,312,4.9%,15,1.8%,66,6.1%,8,3.0%,222,5.3%,1,0.4%,0,0.0%,4,101,4.6%
10-19 Years,660,10.3%,64,7.8%,103,9.5%,39,14.5%,442,10.6%,1,0.4%,0,0.0%,5,248,11.3%
20-29 Years,1589,24.8%,211,25.6%,293,26.9%,51,19.0%,1020,24.5%,14,5.7%,0,0.0%,6,566,25.8%
30-39 Years,1207,18.9%,171,20.8%,202,18.5%,52,19.3%,771,18.6%,23,9.3%,2,4.5%,7,434,19.8%
40-49 Years,862,13.5%,134,16.3%,126,11.6%,41,15.2%,550,13.2%,33,13.4%,3,6.8%,8,289,13.2%
50-59 Years,827,12.9%,102,12.4%,146,13.4%,36,13.4%,542,13.0%,45,18.3%,4,9.1%,9,272,12.4%
60-69 Years,579,9.1%,81,9.8%,87,8.0%,26,9.7%,381,9.2%,47,19.1%,5,11.4%,10,183,8.3%
70-79 Years,257,4.0%,36,4.4%,39,3.6%,15,5.6%,166,4.0%,52,21.1%,17,38.6%,11,77,3.5%
80+ Years,102,1.6%,10,1.2%,27,2.5%,1,0.4%,62,1.5%,30,12.2%,13,29.5%,12,23,1.0%
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13,0,0.0%
Hispanic,301,4.7%,61,7.4%,97,8.9%,26,9.7%,114,2.7%,13,5.3%,1,2.3%,14,157,7.2%
Non-Hispanic,2228,34.8%,591,71.7%,724,66.5%,185,68.8%,704,16.9%,182,74.0%,40,90.9%,15,1269,57.9%
UI Ethnicity,3338,52.2%,0,0.0%,0,0.0%,0,0.0%,3338,80.3%,36,14.6%,1,2.3%,16,454,20.7%
Unknown Ethnicity,528,8.3%,172,20.9%,268,24.6%,58,21.6%,0,0.0%,15,6.1%,2,4.5%,17,313,14.3%
White,1401,21.9%,339,41.1%,435,39.9%,171,63.6%,446,10.7%,72,29.3%,18,40.9%,18,825,37.6%
Black,209,3.3%,52,6.3%,60,5.5%,15,5.6%,78,1.9%,8,3.3%,0,0.0%,19,100,4.6%
AI/AN,1101,17.2%,191,23.2%,190,17.4%,15,5.6%,692,16.7%,69,28.0%,16,36.4%,20,315,14.4%
Asian,148,2.3%,30,3.6%,54,5.0%,9,3.3%,54,1.3%,13,5.3%,3,6.8%,21,86,3.9%
NHOPI,245,3.8%,54,6.6%,80,7.3%,2,0.7%,108,2.6%,43,17.5%,5,11.4%,22,118,5.4%
Multiple,218,3.4%,36,4.4%,41,3.8%,10,3.7%,130,3.1%,4,1.6%,0,0.0%,23,76,3.5%
Other,184,2.9%,17,2.1%,29,2.7%,10,3.7%,127,3.1%,7,2.8%,0,0.0%,24,56,2.6%
UI Race,2521,39.4%,0,0.0%,0,0.0%,0,0.0%,2521,60.7%,21,8.5%,1,2.3%,25,389,17.7%
Unknown Race,368,5.8%,105,12.7%,200,18.4%,37,13.8%,0,0.0%,9,3.7%,1,2.3%,26,228,10.4%
