Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
10/07/2020,02/01/2020,10/03/2020,United States,All Sexes,All Ages,198809,2150188,203068,89981,6713,317608,
10/07/2020,02/01/2020,10/03/2020,United States,All Sexes,Under 1 year,22,12092,113,3,16,148,
10/07/2020,02/01/2020,10/03/2020,United States,All Sexes,0-17 years,100,21449,337,16,123,544,
10/07/2020,02/01/2020,10/03/2020,United States,All Sexes,1-4 years,15,2307,77,2,42,132,
10/07/2020,02/01/2020,10/03/2020,United States,All Sexes,5-14 years,35,3597,106,7,52,186,
10/07/2020,02/01/2020,10/03/2020,United States,All Sexes,15-24 years,369,23153,470,132,55,758,
10/07/2020,02/01/2020,10/03/2020,United States,All Sexes,18-29 years,889,41027,1100,368,102,1713,
10/07/2020,02/01/2020,10/03/2020,United States,All Sexes,25-34 years,1541,47522,1703,686,151,2695,
10/07/2020,02/01/2020,10/03/2020,United States,All Sexes,30-49 years,9181,142650,8542,4136,568,14076,
10/07/2020,02/01/2020,10/03/2020,United States,All Sexes,35-44 years,4039,67177,3843,1798,249,6303,
10/07/2020,02/01/2020,10/03/2020,United States,All Sexes,45-54 years,10627,123171,10003,4980,580,16125,
10/07/2020,02/01/2020,10/03/2020,United States,All Sexes,50-64 years,31899,355464,33082,15517,1593,50774,
10/07/2020,02/01/2020,10/03/2020,United States,All Sexes,55-64 years,25421,281571,26746,12429,1241,40760,
10/07/2020,02/01/2020,10/03/2020,United States,All Sexes,65-74 years,42950,426332,45198,20858,1457,68506,
10/07/2020,02/01/2020,10/03/2020,United States,All Sexes,75-84 years,52618,519488,55444,24576,1482,84759,
10/07/2020,02/01/2020,10/03/2020,United States,All Sexes,85 years and over,61172,643778,59365,24510,1388,97236,
10/07/2020,02/01/2020,10/03/2020,United States,Male,All Ages,107472,1122212,111343,50798,3459,170862,
10/07/2020,02/01/2020,10/03/2020,United States,Male,Under 1 year,15,6692,68,2,8,89,
10/07/2020,02/01/2020,10/03/2020,United States,Male,0-17 years,59,12617,185,10,64,298,
10/07/2020,02/01/2020,10/03/2020,United States,Male,1-4 years,7,1352,38,1,25,69,
