GEOID,GEO,NAME,DATE,POSITIVE,POS_NEW,NEGATIVE,NEG_NEW,DEATHS,DTH_NEW,TEST_NEW,HOSP_YES,HOSP_NO,HOSP_UNK,POS_FEM,POS_MALE,POS_OTH,POS_0_9,POS_10_19,POS_20_29,POS_30_39,POS_40_49,POS_50_59,POS_60_69,POS_70_79,POS_80_89,POS_90,DTHS_FEM,DTHS_MALE,DTHS_OTH,DTHS_0_9,DTHS_10_19,DTHS_20_29,DTHS_30_39,DTHS_40_49,DTHS_50_59,DTHS_60_69,DTHS_70_79,DTHS_80_89,DTHS_90,POS_AIAN,POS_ASN,POS_BLK,POS_WHT,POS_MLTOTH,POS_UNK,POS_E_HSP,POS_E_NHSP,POS_E_UNK,DTH_AIAN,DTH_ASN,DTH_BLK,DTH_WHT,DTH_MLTOTH,DTH_UNK,DTH_E_HSP,DTH_E_NHSP,DTH_E_UNK,POS_HC_Y,POS_HC_N,POS_HC_UNK,IP_Y_0_9,IP_Y_10_19,IP_Y_20_29,IP_Y_30_39,IP_Y_40_49,IP_Y_50_59,IP_Y_60_69,IP_Y_70_79,IP_Y_80_89,IP_Y_90,IP_N_0_9,IP_N_10_19,IP_N_20_29,IP_N_30_39,IP_N_40_49,IP_N_50_59,IP_N_60_69,IP_N_70_79,IP_N_80_89,IP_N_90,IP_U_0_9,IP_U_10_19,IP_U_20_29,IP_U_30_39,IP_U_40_49,IP_U_50_59,IP_U_60_69,IP_U_70_79,IP_U_80_89,IP_U_90,IC_YES,IC_Y_0_9,IC_Y_10_19,IC_Y_20_29,IC_Y_30_39,IC_Y_40_49,IC_Y_50_59,IC_Y_60_69,IC_Y_70_79,IC_Y_80_89,IC_Y_90,OBJECTID
55,State,WI,2020/03/15 19:00:00+00,32,,313,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
55,State,WI,2020/03/16 19:00:00+00,47,15,504,191,0,0,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
55,State,WI,2020/03/17 19:00:00+00,72,25,1038,534,0,0,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147
55,State,WI,2020/06/15 19:00:00+00,22932,174,403447,6081,694,2,6255,3061,13262,6609,11693,11178,61,703,1657,4403,4168,3735,3370,2386,1268,826,416,314,380,0,0,0,6,8,22,56,116,185,169,132,232,902,4270,12128,2912,2488,7581,12658,2693,9,20,169,476,7,13,77,605,12,2224,13055,7653,20,46,156,235,363,527,646,550,373,145,417,1033,2855,2572,2283,1998,1224,473,260,147,266,578,1392,1361,1089,845,516,245,193,124,680,2,3,21,35,83,121,187,136,64,28,585
55,State,WI,2020/06/16 19:00:00+00,23198,266,414330,10883,703,9,11149,3096,13478,6624,11837,11301,60,713,1684,4480,4216,3761,3408,2407,1278,832,419,320,383,0,0,0,6,8,22,57,117,188,170,135,233,915,4304,12316,2920,2510,7638,12865,2695,9,20,170,484,7,13,78,613,12,2242,13267,7689,20,46,160,239,370,528,656,550,379,148,429,1058,2912,2610,2310,2033,1234,481,263,148,264,580,1408,1367,1081,847,517,247,190,123,687,2,3,22,35,83,124,189,136,66,27,1011
55,State,WI,2020/06/22 19:00:00+00,25068,249,466634,6300,745,1,6549,3231,14535,7302,12776,12220,72,810,1871,5069,4526,3999,3641,2507,1340,860,445,341,404,0,0,0,7,8,22,58,125,197,184,144,243,984,4536,13482,3094,2729,8121,14007,2940,10,22,179,513,8,13,81,649,15,2387,14275,8406,23,47,169,257,385,550,684,571,395,150,480,1157,3259,2793,2447,2175,1295,509,268,152,307,667,1641,1476,1167,916,528,260,197,143,711,2,3,24,36,83,127,202,138,69,27,2958
55,State,WI,2020/06/21 19:00:00+00,24819,280,460334,5771,744,0,6051,3220,14421,7178,12642,12109,68,791,1850,4984,4488,3969,3619,2498,1328,855,437,341,403,0,0,0,7,8,22,58,125,196,184,144,242,984,4493,13340,3054,2706,8064,13850,2905,10,22,179,512,8,13,81,648,15,2376,14184,8259,23,47,169,257,384,549,682,565,394,150,473,1148,3219,2772,2430,2162,1292,506,268,151,295,655,1596,1459,1155,908,524,257,193,136,710,2,3,24,36,83,127,202,138,68,27,3699
55,State,WI,2020/06/20 19:00:00+00,24539,385,454563,9812,744,14,10197,3203,14314,7022,12495,11976,68,772,1824,4907,4443,3929,3577,2480,1320,850,437,341,403,0,0,0,7,8,22,58,125,196,184,144,242,974,4458,13192,2999,2674,8003,13688,2848,10,22,179,512,8,13,81,648,15,2366,14071,8102,23,47,168,256,379,544,679,564,393,150,469,1136,3185,2754,2420,2147,1286,502,265,150,280,641,1554,1433,1130,886,515,254,192,137,708,2,3,23,36,83,127,201,138,68,27,5528
55,State,WI,2020/06/02 19:00:00+00,18917,374,263743,10148,607,12,10522,2643,10482,5792,9594,9258,65,497,1259,3317,3473,3168,2906,2077,1130,727,363,271,336,0,0,0,6,8,17,50,95,157,153,121,208,697,3639,9826,2409,2138,6381,10272,2264,9,17,152,408,6,15,59,531,17,1915,10465,6537,15,34,128,195,312,458,569,485,323,124,282,734,2064,2077,1876,1669,1035,392,226,127,200,491,1125,1201,980,779,473,253,178,112,593,1,3,20,30,72,108,165,114,57,23,6177
55,State,WI,2020/06/03 19:00:00+00,19400,483,279711,15968,616,9,16451,2700,10787,5913,9783,9558,59,514,1282,3433,3580,3261,2969,2114,1144,736,367,276,340,0,0,0,6,8,18,50,96,159,157,122,212,706,3726,10114,2535,2107,6535,10531,2334,9,17,153,418,6,13,60,542,14,1953,10773,6674,15,34,132,200,318,466,584,496,329,126,299,765,2141,2139,1936,1702,1052,397,231,125,200,483,1160,1241,1007,801,478,251,176,116,606,1,3,20,30,74,109,171,115,60,23,8698
