,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,
Age Group,"N=652,321",,"N=101,986",,"N=7,615",,"N=2,026",
0-4,18998,3%,2182,2%,63,1%,<5,--
5-9,24192,4%,2643,3%,16,<1%,0,0%
10-14,25489,4%,3560,3%,31,<1%,<5,--
15-18,32875,5%,4757,5%,46,1%,0,0%
19-24,73180,11%,11201,11%,184,2%,<5,--
25-29,56310,9%,9278,9%,222,3%,<5,--
30-39,98945,15%,16170,16%,461,6%,11,1%
40-49,80388,12%,13982,14%,662,9%,26,1%
50-59,94437,14%,15478,15%,1068,14%,85,4%
60-69,78133,12%,10954,11%,1474,19%,241,12%
70-79,41960,6%,5783,6%,1562,21%,459,23%
80-89,18719,3%,3786,4%,1262,17%,647,32%
90+,7789,1%,2206,2%,563,7%,548,27%
Pending further information,906,--,6,--,<5,--,0,--
Race and Ethnicity,,,,,,,,
Hispanic or Latino†,47603,17%,27224,32%,1671,29%,172,10%
American Indian or Alaska Native*,4428,2%,221,<1%,12,<1%,<5,--
Asian*,7238,3%,1869,2%,130,2%,31,2%
Black or African American*,16035,6%,6529,8%,527,9%,92,5%
Native Hawaiian or Other Pacific Islander*,479,<1%,0,0%,0,0%,0,0%
White*,187119,66%,45443,54%,3233,57%,1479,83%
Other race*,18219,6%,1616,2%,107,2%,<5,--
Multiple race*,381,<1%,891,1%,26,<1%,<5,--
Declined,6723,--,1879,--,73,--,0,--
Unknown or pending further information,364096,--,16314,--,1836,--,247,--
Sex Assigned at Birth,,,,,,,,
Female,320522,54%,52246,53%,3599,49%,1034,51%
Male,268745,46%,45402,46%,3673,50%,991,49%
Other,110,<1%,128,<1%,23,<1%,<5,--
Pending further information,62944,--,4210,--,320,--,0,--
"Lesbian, Gay, Bisexual, Transgender, Queer, or Other Gender or Sexual Minority (LGBTQ+)‡",,,,,,,,
Yes,--,--,2291,4%,67,3%,--,--
No,--,--,48984,96%,2425,97%,--,--
Unknown or pending,--,--,50711,--,5123,--,--,--
Gender Identity‡,,,,,,,,
Cisgender woman,--,--,31627,53%,3778,50%,--,--
Cisgender man,--,--,26957,46%,3827,50%,--,--
"Gender non-conforming, gender non-binary, or transgender",--,--,382,1%,0,0%,--,--
Other,--,--,175,<1%,<5,--,--,--
Declined,--,--,14947,--,0,--,--,--
Unknown or pending,--,--,27898,--,7,--,--,--
Sexual Orientation‡,,,,,,,,
Asexual,--,--,28,<1%,<5,--,--,--
Bisexual,--,--,460,1%,<5,--,--,--
Lesbian or gay,--,--,866,2%,26,1%,--,--
Queer,--,--,101,<1%,<5,--,--,--
Straight,--,--,50992,96%,2526,99%,--,--
Other,--,--,473,1%,12,<1%,--,--
Declined,--,--,18987,--,1302,--,--,--
Unknown or pending,--,--,30079,--,3742,--,--,--
Source: Rhode Island Department of Health,,,,,,,,
"Notes: † Includes people who identify as any race. * Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity. ‡Gender identity and sexual orientation data collection began on 6/1/20. Detailed gender identity and sexual orientation definitions are available at: https://pflag.org/glossary. Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. People tested for COVID-19, COVID-19 cases, and COVID-19 associated deaths exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Last Updated:,1/20/2021,,,,,,,
