,"All People Tested
 (Positive and Negative)",,Cases,,Hospitalizations,,Deaths,,All People At Least Partially Vaccinated,,All People Fully Vaccinated,,Total Vaccine Doses Administered,
Age Group,"N=816,397",,"N=119,064",,"N=9,916",,"N=2,651",,"N=448,826",,"N=311,575",,"N=724,826",
0-4,27656,3%,2720,2%,83,1%,<5,--,0,0%,0,0%,0,0%
5-9,36172,4%,3389,3%,26,<1%,0,0%,0,0%,0,0%,0,0%
10-14,37811,5%,4333,4%,36,<1%,<5,--,<5,--,<5,--,<5,--
15-18,42340,5%,5853,5%,72,1%,0,0%,6217,1%,1505,<1%,7360,1%
19-24,86900,11%,14015,12%,259,3%,<5,--,22695,5%,11203,4%,31372,4%
25-29,67827,8%,10601,9%,326,3%,<5,--,21049,5%,12240,4%,31243,4%
30-39,121664,15%,18626,16%,629,6%,12,<1%,47942,11%,28911,9%,72045,10%
40-49,99337,12%,15906,13%,880,9%,33,1%,55815,12%,32018,10%,82387,11%
50-59,115666,14%,17668,15%,1453,15%,119,5%,85214,19%,48879,16%,123606,17%
60-69,96299,12%,12692,11%,1922,19%,318,12%,103817,23%,80083,26%,176711,24%
70-79,51667,6%,6690,6%,1990,20%,606,23%,68365,15%,62286,20%,128765,18%
80-89,22659,3%,4201,4%,1534,15%,837,32%,28949,6%,26541,9%,54942,8%
90+,9190,1%,2367,2%,700,7%,716,27%,8755,2%,7908,3%,16387,2%
Pending further information,1209,--,<5,--,6,--,0,--,<5,--,0,--,<5,--
Race and Ethnicity,,,,,,,,,,,,,,
Hispanic or Latino†,61563,16%,30921,30%,2096,26%,220,10%,42475,10%,26680,9%,63813,9%
American Indian or Alaska Native*,4909,1%,314,<1%,27,<1%,<5,--,1380,<1%,853,<1%,2135,<1%
Asian*,10015,3%,2347,2%,185,2%,44,2%,13387,3%,5880,2%,18081,3%
Black or African American*,20517,5%,7680,7%,668,8%,108,5%,16264,4%,10296,4%,24884,4%
Native Hawaiian or Other Pacific Islander*,557,<1%,0,0%,0,0%,0,0%,706,<1%,434,<1%,1097,<1%
White*,247810,66%,59240,57%,4820,60%,1908,84%,323671,77%,230073,80%,529974,79%
Other race*,21815,6%,2296,2%,212,3%,<5,--,19968,5%,13523,5%,31841,5%
Multiple race*,6151,2%,1196,1%,54,1%,<5,--,--,--,--,--,--,--
Declined,11360,--,2468,--,112,--,0,--,0,--,0,--,0,--
Unknown or pending further information,431700,--,12602,--,1742,--,362,--,30975,--,23836,--,53001,--
Sex Assigned at Birth,,,,,,,,,,,,,,
Female,370198,54%,61189,53%,4714,50%,1367,52%,253925,57%,183523,59%,418650,58%
Male,315531,46%,53806,47%,4701,50%,1278,48%,194384,43%,127766,41%,305449,42%
Other,207,<1%,170,<1%,14,<1%,<5,--,0,0%,0,0%,0,0%
Pending further information,130461,--,3899,--,487,--,<5,--,517,--,286,--,727,--
"Lesbian, Gay, Bisexual, Transgender, Queer, or Other Gender or Sexual Minority (LGBTQ+)‡",,,,,,,,,,,,,,
Yes,--,--,2948,5%,112,3%,--,--,--,--,--,--,--,--
No,--,--,59210,95%,3545,97%,--,--,--,--,--,--,--,--
Unknown or pending,--,--,56906,--,6259,--,--,--,--,--,--,--,--,--
Gender Identity‡,,,,,,,,,,,,,,
Cisgender woman,--,--,38512,53%,4973,50%,--,--,--,--,--,--,--,--
Cisgender man,--,--,33532,46%,4925,50%,--,--,--,--,--,--,--,--
"Gender non-conforming, gender non-binary, or transgender",--,--,540,1%,0,0%,--,--,--,--,--,--,--,--
Other,--,--,226,<1%,<5,--,--,--,--,--,--,--,--,--
Declined,--,--,21887,--,0,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,24367,--,16,--,--,--,--,--,--,--,--,--
Sexual Orientation‡,,,,,,,,,,,,,,
Asexual,--,--,38,<1%,5,<1%,--,--,--,--,--,--,--,--
Bisexual,--,--,603,1%,8,<1%,--,--,--,--,--,--,--,--
Lesbian or gay,--,--,1077,2%,45,1%,--,--,--,--,--,--,--,--
Queer,--,--,128,<1%,<5,--,--,--,--,--,--,--,--,--
Straight,--,--,63011,96%,3784,98%,--,--,--,--,--,--,--,--
Other,--,--,590,1%,18,<1%,--,--,--,--,--,--,--,--
Declined,--,--,26527,--,2448,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,27090,--,3607,--,--,--,--,--,--,--,--,--
Source: Rhode Island Department of Health; Rhode Island Child and Adult Immunization Registry,,,,,,,,,,,,,,
"Notes: † Includes people who identify as any race. * Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity. Vaccination data for multiple race is not available at this time because many sites do not allow for selection of multiple races at the point of data collection. ‡Gender identity and sexual orientation data collection began on 6/1/20. Detailed gender identity and sexual orientation definitions are available at: https://pflag.org/glossary. Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. Testing data exclude asymptomatic K-12 and employer test results that are reported to RIDOH in aggregate form. People tested for COVID-19, COVID-19 cases, COVID-19 associated deaths, and all vaccine data exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Last Updated:,4/21/2021,,,,,,,,,,,,,
