Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage,ObjectId
Male,34094,52.1%,1111,51.9%,1436,49.8%,280,52.5%,30757,52.2%,817,54.8%,205,60.1%,1
Female,31300,47.9%,1031,48.1%,1447,50.2%,253,47.5%,28097,47.7%,673,45.2%,136,39.9%,2
Unknown Sex,15,0.0%,0,0.0%,0,0.0%,0,0.0%,15,0.0%,0,0.0%,0,0.0%,3
<10 Years,4747,7.3%,67,3.1%,270,9.4%,18,3.4%,4348,7.4%,16,1.1%,0,0.0%,4
10-19 Years,8504,13.0%,216,10.1%,384,13.3%,72,13.5%,7727,13.1%,15,1.0%,0,0.0%,5
20-29 Years,13417,20.5%,535,25.0%,617,21.4%,89,16.7%,11980,20.4%,60,4.0%,5,1.5%,6
30-39 Years,12354,18.9%,375,17.5%,469,16.3%,91,17.1%,11258,19.1%,121,8.1%,7,2.1%,7
40-49 Years,8907,13.6%,298,13.9%,338,11.7%,82,15.4%,8065,13.7%,152,10.2%,16,4.7%,8
50-59 Years,8288,12.7%,261,12.2%,356,12.3%,72,13.5%,7483,12.7%,260,17.4%,22,6.5%,9
60-69 Years,5709,8.7%,224,10.5%,215,7.5%,68,12.8%,5067,8.6%,333,22.3%,67,19.6%,10
70-79 Years,2465,3.8%,107,5.0%,132,4.6%,36,6.8%,2125,3.6%,310,20.8%,105,30.8%,11
80+ Years,1018,1.6%,59,2.8%,102,3.5%,5,0.9%,816,1.4%,223,15.0%,119,34.9%,12
Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,13
Hispanic,3332,5.1%,138,6.4%,221,7.7%,57,10.7%,2881,4.9%,76,5.1%,16,4.7%,14
Non-Hispanic,34428,52.6%,1718,80.2%,2261,78.4%,404,75.8%,29636,50.3%,1116,74.9%,319,93.5%,15
UI Ethnicity,26352,40.3%,0,0.0%,0,0.0%,0,0.0%,26352,44.8%,276,18.5%,4,1.2%,16
Unknown Ethnicity,1297,2.0%,286,13.4%,401,13.9%,72,13.5%,0,0.0%,22,1.5%,2,0.6%,17
White,21614,33.0%,881,41.1%,1125,39.0%,315,59.1%,19029,32.3%,543,36.4%,151,44.3%,18
Black,1585,2.4%,98,4.6%,132,4.6%,22,4.1%,1316,2.2%,53,3.6%,10,2.9%,19
AI/AN,13641,20.9%,734,34.3%,892,30.9%,77,14.4%,11719,19.9%,385,25.8%,120,35.2%,20
Asian,2517,3.8%,94,4.4%,170,5.9%,23,4.3%,2199,3.7%,123,8.3%,32,9.4%,21
NHOPI,1677,2.6%,81,3.8%,160,5.5%,4,0.8%,1423,2.4%,135,9.1%,20,5.9%,22
Multiple,4929,7.5%,89,4.2%,125,4.3%,21,3.9%,4653,7.9%,79,5.3%,6,1.8%,23
Other,7602,11.6%,56,2.6%,75,2.6%,21,3.9%,7308,12.4%,68,4.6%,1,0.3%,24
UI Race,11222,17.2%,0,0.0%,0,0.0%,0,0.0%,11222,19.1%,95,6.4%,0,0.0%,25
Unknown Race,622,1.0%,109,5.1%,204,7.1%,50,9.4%,0,0.0%,9,0.6%,1,0.3%,26
