"date","age","cum.deaths","daily.deaths","code"
2020-06-01,"0-9",0,NA,"RI"
2020-06-01,"10-19",0,NA,"RI"
2020-06-01,"20-29",0,NA,"RI"
2020-06-01,"30-39",6,NA,"RI"
2020-06-01,"40-49",9,NA,"RI"
2020-06-01,"50-59",35,NA,"RI"
2020-06-01,"60-69",74,NA,"RI"
2020-06-01,"70-79",185,NA,"RI"
2020-06-01,"80-89",226,NA,"RI"
2020-06-01,"90+",182,NA,"RI"
2020-06-02,"0-9",0,0,"RI"
2020-06-02,"10-19",0,0,"RI"
2020-06-02,"20-29",0,0,"RI"
2020-06-02,"30-39",6,0,"RI"
2020-06-02,"40-49",9,0,"RI"
2020-06-02,"50-59",35,0,"RI"
2020-06-02,"60-69",75,1,"RI"
2020-06-02,"70-79",188,3,"RI"
2020-06-02,"80-89",229,3,"RI"
2020-06-02,"90+",182,0,"RI"
2020-06-03,"0-9",0,0,"RI"
2020-06-03,"10-19",0,0,"RI"
2020-06-03,"20-29",0,0,"RI"
2020-06-03,"30-39",6,0,"RI"
2020-06-03,"40-49",9,0,"RI"
2020-06-03,"50-59",35,0,"RI"
2020-06-03,"60-69",76,1,"RI"
2020-06-03,"70-79",191,3,"RI"
2020-06-03,"80-89",232,3,"RI"
2020-06-03,"90+",182,0,"RI"
2020-06-04,"0-9",0,0,"RI"
2020-06-04,"10-19",0,0,"RI"
2020-06-04,"20-29",0,0,"RI"
2020-06-04,"30-39",6,0,"RI"
2020-06-04,"40-49",9,0,"RI"
2020-06-04,"50-59",35,0,"RI"
2020-06-04,"60-69",77,1,"RI"
2020-06-04,"70-79",194,3,"RI"
2020-06-04,"80-89",235,3,"RI"
2020-06-04,"90+",182,0,"RI"
2020-06-05,"0-9",0,0,"RI"
2020-06-05,"10-19",0,0,"RI"
2020-06-05,"20-29",0,0,"RI"
2020-06-05,"30-39",6,0,"RI"
2020-06-05,"40-49",9,0,"RI"
2020-06-05,"50-59",35,0,"RI"
2020-06-05,"60-69",78,1,"RI"
2020-06-05,"70-79",197,3,"RI"
2020-06-05,"80-89",238,3,"RI"
2020-06-05,"90+",182,0,"RI"
2020-06-06,"0-9",0,0,"RI"
2020-06-06,"10-19",0,0,"RI"
2020-06-06,"20-29",0,0,"RI"
2020-06-06,"30-39",6,0,"RI"
2020-06-06,"40-49",9,0,"RI"
2020-06-06,"50-59",35,0,"RI"
2020-06-06,"60-69",79,1,"RI"
2020-06-06,"70-79",200,3,"RI"
2020-06-06,"80-89",241,3,"RI"
2020-06-06,"90+",182,0,"RI"
2020-06-07,"0-9",0,0,"RI"
2020-06-07,"10-19",0,0,"RI"
2020-06-07,"20-29",0,0,"RI"
2020-06-07,"30-39",6,0,"RI"
2020-06-07,"40-49",9,0,"RI"
2020-06-07,"50-59",35,0,"RI"
2020-06-07,"60-69",80,1,"RI"
2020-06-07,"70-79",203,3,"RI"
2020-06-07,"80-89",244,3,"RI"
2020-06-07,"90+",182,0,"RI"
2020-06-08,"0-9",0,0,"RI"
2020-06-08,"10-19",0,0,"RI"
2020-06-08,"20-29",0,0,"RI"
2020-06-08,"30-39",6,0,"RI"
2020-06-08,"40-49",9,0,"RI"
2020-06-08,"50-59",35,0,"RI"
2020-06-08,"60-69",81,1,"RI"
2020-06-08,"70-79",206,3,"RI"
2020-06-08,"80-89",247,3,"RI"
2020-06-08,"90+",186,4,"RI"
2020-06-09,"0-9",0,0,"RI"
2020-06-09,"10-19",0,0,"RI"
2020-06-09,"20-29",0,0,"RI"
2020-06-09,"30-39",6,0,"RI"
2020-06-09,"40-49",9,0,"RI"
2020-06-09,"50-59",35,0,"RI"
2020-06-09,"60-69",81,0,"RI"
2020-06-09,"70-79",207,1,"RI"
2020-06-09,"80-89",247,0,"RI"
2020-06-09,"90+",186,0,"RI"
2020-06-10,"0-9",0,0,"RI"
2020-06-10,"10-19",0,0,"RI"
2020-06-10,"20-29",0,0,"RI"
2020-06-10,"30-39",6,0,"RI"
2020-06-10,"40-49",9,0,"RI"
2020-06-10,"50-59",35,0,"RI"
2020-06-10,"60-69",81,0,"RI"
2020-06-10,"70-79",208,1,"RI"
2020-06-10,"80-89",247,0,"RI"
2020-06-10,"90+",186,0,"RI"
2020-06-11,"0-9",0,0,"RI"
2020-06-11,"10-19",0,0,"RI"
2020-06-11,"20-29",0,0,"RI"
2020-06-11,"30-39",6,0,"RI"
2020-06-11,"40-49",9,0,"RI"
2020-06-11,"50-59",35,0,"RI"
2020-06-11,"60-69",81,0,"RI"
2020-06-11,"70-79",209,1,"RI"
2020-06-11,"80-89",247,0,"RI"
2020-06-11,"90+",186,0,"RI"
2020-06-12,"0-9",0,0,"RI"
2020-06-12,"10-19",0,0,"RI"
2020-06-12,"20-29",0,0,"RI"
2020-06-12,"30-39",6,0,"RI"
2020-06-12,"40-49",9,0,"RI"
2020-06-12,"50-59",35,0,"RI"
2020-06-12,"60-69",81,0,"RI"
2020-06-12,"70-79",210,1,"RI"
2020-06-12,"80-89",247,0,"RI"
2020-06-12,"90+",186,0,"RI"
2020-06-13,"0-9",0,0,"RI"
2020-06-13,"10-19",0,0,"RI"
2020-06-13,"20-29",0,0,"RI"
2020-06-13,"30-39",6,0,"RI"
2020-06-13,"40-49",9,0,"RI"
2020-06-13,"50-59",35,0,"RI"
2020-06-13,"60-69",81,0,"RI"
2020-06-13,"70-79",211,1,"RI"
2020-06-13,"80-89",247,0,"RI"
2020-06-13,"90+",186,0,"RI"
2020-06-14,"0-9",0,0,"RI"
2020-06-14,"10-19",0,0,"RI"
2020-06-14,"20-29",0,0,"RI"
2020-06-14,"30-39",6,0,"RI"
2020-06-14,"40-49",9,0,"RI"
2020-06-14,"50-59",35,0,"RI"
2020-06-14,"60-69",81,0,"RI"
2020-06-14,"70-79",212,1,"RI"
2020-06-14,"80-89",247,0,"RI"
2020-06-14,"90+",186,0,"RI"
2020-06-15,"0-9",0,0,"RI"
2020-06-15,"10-19",0,0,"RI"
2020-06-15,"20-29",0,0,"RI"
2020-06-15,"30-39",6,0,"RI"
2020-06-15,"40-49",11,2,"RI"
2020-06-15,"50-59",38,3,"RI"
2020-06-15,"60-69",82,1,"RI"
2020-06-15,"70-79",213,1,"RI"
2020-06-15,"80-89",250,3,"RI"
2020-06-15,"90+",188,2,"RI"
2020-06-16,"0-9",0,0,"RI"
2020-06-16,"10-19",0,0,"RI"
2020-06-16,"20-29",0,0,"RI"
2020-06-16,"30-39",6,0,"RI"
2020-06-16,"40-49",11,0,"RI"
2020-06-16,"50-59",38,0,"RI"
2020-06-16,"60-69",82,0,"RI"
2020-06-16,"70-79",213,0,"RI"
2020-06-16,"80-89",252,2,"RI"
2020-06-16,"90+",188,0,"RI"
2020-06-17,"0-9",0,0,"RI"
2020-06-17,"10-19",0,0,"RI"
2020-06-17,"20-29",0,0,"RI"
2020-06-17,"30-39",6,0,"RI"
2020-06-17,"40-49",11,0,"RI"
2020-06-17,"50-59",38,0,"RI"
2020-06-17,"60-69",82,0,"RI"
2020-06-17,"70-79",213,0,"RI"
2020-06-17,"80-89",254,2,"RI"
2020-06-17,"90+",188,0,"RI"
2020-06-18,"0-9",0,0,"RI"
2020-06-18,"10-19",0,0,"RI"
2020-06-18,"20-29",0,0,"RI"
2020-06-18,"30-39",6,0,"RI"
2020-06-18,"40-49",11,0,"RI"
2020-06-18,"50-59",38,0,"RI"
2020-06-18,"60-69",82,0,"RI"
2020-06-18,"70-79",213,0,"RI"
2020-06-18,"80-89",256,2,"RI"
2020-06-18,"90+",188,0,"RI"
2020-06-19,"0-9",0,0,"RI"
2020-06-19,"10-19",0,0,"RI"
2020-06-19,"20-29",0,0,"RI"
2020-06-19,"30-39",6,0,"RI"
2020-06-19,"40-49",11,0,"RI"
2020-06-19,"50-59",38,0,"RI"
2020-06-19,"60-69",82,0,"RI"
2020-06-19,"70-79",213,0,"RI"
2020-06-19,"80-89",258,2,"RI"
2020-06-19,"90+",188,0,"RI"
2020-06-20,"0-9",0,0,"RI"
2020-06-20,"10-19",0,0,"RI"
2020-06-20,"20-29",0,0,"RI"
2020-06-20,"30-39",6,0,"RI"
2020-06-20,"40-49",11,0,"RI"
2020-06-20,"50-59",38,0,"RI"
2020-06-20,"60-69",82,0,"RI"
2020-06-20,"70-79",213,0,"RI"
2020-06-20,"80-89",260,2,"RI"
2020-06-20,"90+",188,0,"RI"
2020-06-21,"0-9",0,0,"RI"
2020-06-21,"10-19",0,0,"RI"
2020-06-21,"20-29",0,0,"RI"
2020-06-21,"30-39",6,0,"RI"
2020-06-21,"40-49",11,0,"RI"
2020-06-21,"50-59",38,0,"RI"
2020-06-21,"60-69",82,0,"RI"
2020-06-21,"70-79",213,0,"RI"
2020-06-21,"80-89",262,2,"RI"
2020-06-21,"90+",188,0,"RI"
2020-06-22,"0-9",0,0,"RI"
2020-06-22,"10-19",0,0,"RI"
2020-06-22,"20-29",0,0,"RI"
2020-06-22,"30-39",6,0,"RI"
2020-06-22,"40-49",11,0,"RI"
2020-06-22,"50-59",41,3,"RI"
2020-06-22,"60-69",83,1,"RI"
2020-06-22,"70-79",215,2,"RI"
2020-06-22,"80-89",264,2,"RI"
2020-06-22,"90+",191,3,"RI"
2020-06-23,"0-9",0,0,"RI"
2020-06-23,"10-19",0,0,"RI"
2020-06-23,"20-29",0,0,"RI"
2020-06-23,"30-39",6,0,"RI"
2020-06-23,"40-49",11,0,"RI"
2020-06-23,"50-59",41,0,"RI"
2020-06-23,"60-69",83,0,"RI"
2020-06-23,"70-79",216,1,"RI"
2020-06-23,"80-89",264,0,"RI"
2020-06-23,"90+",193,2,"RI"
2020-06-24,"0-9",0,0,"RI"
2020-06-24,"10-19",0,0,"RI"
2020-06-24,"20-29",0,0,"RI"
2020-06-24,"30-39",6,0,"RI"
2020-06-24,"40-49",11,0,"RI"
2020-06-24,"50-59",41,0,"RI"
2020-06-24,"60-69",83,0,"RI"
2020-06-24,"70-79",217,1,"RI"
2020-06-24,"80-89",264,0,"RI"
2020-06-24,"90+",195,2,"RI"
2020-06-25,"0-9",0,0,"RI"
2020-06-25,"10-19",0,0,"RI"
2020-06-25,"20-29",0,0,"RI"
2020-06-25,"30-39",6,0,"RI"
2020-06-25,"40-49",11,0,"RI"
2020-06-25,"50-59",41,0,"RI"
2020-06-25,"60-69",83,0,"RI"
2020-06-25,"70-79",218,1,"RI"
2020-06-25,"80-89",264,0,"RI"
2020-06-25,"90+",197,2,"RI"
2020-06-26,"0-9",0,0,"RI"
2020-06-26,"10-19",0,0,"RI"
2020-06-26,"20-29",0,0,"RI"
2020-06-26,"30-39",6,0,"RI"
2020-06-26,"40-49",11,0,"RI"
2020-06-26,"50-59",41,0,"RI"
2020-06-26,"60-69",83,0,"RI"
2020-06-26,"70-79",219,1,"RI"
2020-06-26,"80-89",264,0,"RI"
2020-06-26,"90+",199,2,"RI"
2020-06-27,"0-9",0,0,"RI"
2020-06-27,"10-19",0,0,"RI"
2020-06-27,"20-29",0,0,"RI"
2020-06-27,"30-39",6,0,"RI"
2020-06-27,"40-49",11,0,"RI"
2020-06-27,"50-59",41,0,"RI"
2020-06-27,"60-69",83,0,"RI"
2020-06-27,"70-79",220,1,"RI"
2020-06-27,"80-89",264,0,"RI"
2020-06-27,"90+",201,2,"RI"
2020-06-28,"0-9",0,0,"RI"
2020-06-28,"10-19",0,0,"RI"
2020-06-28,"20-29",0,0,"RI"
2020-06-28,"30-39",6,0,"RI"
2020-06-28,"40-49",11,0,"RI"
2020-06-28,"50-59",41,0,"RI"
2020-06-28,"60-69",83,0,"RI"
2020-06-28,"70-79",221,1,"RI"
2020-06-28,"80-89",264,0,"RI"
2020-06-28,"90+",203,2,"RI"
2020-06-29,"0-9",0,0,"RI"
2020-06-29,"10-19",0,0,"RI"
2020-06-29,"20-29",0,0,"RI"
2020-06-29,"30-39",6,0,"RI"
2020-06-29,"40-49",11,0,"RI"
2020-06-29,"50-59",42,1,"RI"
2020-06-29,"60-69",83,0,"RI"
2020-06-29,"70-79",222,1,"RI"
2020-06-29,"80-89",267,3,"RI"
2020-06-29,"90+",205,2,"RI"
2020-06-30,"0-9",0,0,"RI"
2020-06-30,"10-19",0,0,"RI"
2020-06-30,"20-29",0,0,"RI"
2020-06-30,"30-39",6,0,"RI"
2020-06-30,"40-49",11,0,"RI"
2020-06-30,"50-59",42,0,"RI"
2020-06-30,"60-69",83,0,"RI"
2020-06-30,"70-79",222,0,"RI"
2020-06-30,"80-89",268,1,"RI"
2020-06-30,"90+",205,0,"RI"
2020-07-01,"0-9",0,0,"RI"
2020-07-01,"10-19",0,0,"RI"
2020-07-01,"20-29",0,0,"RI"
2020-07-01,"30-39",6,0,"RI"
2020-07-01,"40-49",11,0,"RI"
2020-07-01,"50-59",42,0,"RI"
2020-07-01,"60-69",83,0,"RI"
2020-07-01,"70-79",222,0,"RI"
2020-07-01,"80-89",269,1,"RI"
2020-07-01,"90+",205,0,"RI"
2020-07-02,"0-9",0,0,"RI"
2020-07-02,"10-19",0,0,"RI"
2020-07-02,"20-29",0,0,"RI"
2020-07-02,"30-39",6,0,"RI"
2020-07-02,"40-49",11,0,"RI"
2020-07-02,"50-59",42,0,"RI"
2020-07-02,"60-69",83,0,"RI"
2020-07-02,"70-79",222,0,"RI"
2020-07-02,"80-89",270,1,"RI"
2020-07-02,"90+",205,0,"RI"
2020-07-03,"0-9",0,0,"RI"
2020-07-03,"10-19",0,0,"RI"
2020-07-03,"20-29",0,0,"RI"
2020-07-03,"30-39",6,0,"RI"
2020-07-03,"40-49",12,1,"RI"
2020-07-03,"50-59",44,2,"RI"
2020-07-03,"60-69",84,1,"RI"
2020-07-03,"70-79",224,2,"RI"
2020-07-03,"80-89",271,1,"RI"
2020-07-03,"90+",207,2,"RI"
2020-07-04,"0-9",0,0,"RI"
2020-07-04,"10-19",0,0,"RI"
2020-07-04,"20-29",0,0,"RI"
2020-07-04,"30-39",6,0,"RI"
2020-07-04,"40-49",12,0,"RI"
2020-07-04,"50-59",44,0,"RI"
2020-07-04,"60-69",84,0,"RI"
2020-07-04,"70-79",224,0,"RI"
2020-07-04,"80-89",271,0,"RI"
2020-07-04,"90+",207,0,"RI"
2020-07-05,"0-9",0,0,"RI"
2020-07-05,"10-19",0,0,"RI"
2020-07-05,"20-29",0,0,"RI"
2020-07-05,"30-39",6,0,"RI"
2020-07-05,"40-49",12,0,"RI"
2020-07-05,"50-59",44,0,"RI"
2020-07-05,"60-69",84,0,"RI"
2020-07-05,"70-79",224,0,"RI"
2020-07-05,"80-89",271,0,"RI"
2020-07-05,"90+",207,0,"RI"
2020-07-06,"0-9",0,0,"RI"
2020-07-06,"10-19",0,0,"RI"
2020-07-06,"20-29",0,0,"RI"
2020-07-06,"30-39",6,0,"RI"
2020-07-06,"40-49",12,0,"RI"
2020-07-06,"50-59",44,0,"RI"
2020-07-06,"60-69",84,0,"RI"
2020-07-06,"70-79",224,0,"RI"
2020-07-06,"80-89",271,0,"RI"
2020-07-06,"90+",207,0,"RI"
2020-07-07,"0-9",0,0,"RI"
2020-07-07,"10-19",0,0,"RI"
2020-07-07,"20-29",0,0,"RI"
2020-07-07,"30-39",6,0,"RI"
2020-07-07,"40-49",12,0,"RI"
2020-07-07,"50-59",44,0,"RI"
2020-07-07,"60-69",84,0,"RI"
2020-07-07,"70-79",224,0,"RI"
2020-07-07,"80-89",271,0,"RI"
2020-07-07,"90+",207,0,"RI"
2020-07-08,"0-9",0,0,"RI"
2020-07-08,"10-19",0,0,"RI"
2020-07-08,"20-29",0,0,"RI"
2020-07-08,"30-39",6,0,"RI"
2020-07-08,"40-49",12,0,"RI"
2020-07-08,"50-59",44,0,"RI"
2020-07-08,"60-69",84,0,"RI"
2020-07-08,"70-79",224,0,"RI"
2020-07-08,"80-89",271,0,"RI"
2020-07-08,"90+",207,0,"RI"
2020-07-09,"0-9",0,0,"RI"
2020-07-09,"10-19",0,0,"RI"
2020-07-09,"20-29",0,0,"RI"
2020-07-09,"30-39",6,0,"RI"
2020-07-09,"40-49",12,0,"RI"
2020-07-09,"50-59",44,0,"RI"
2020-07-09,"60-69",84,0,"RI"
2020-07-09,"70-79",224,0,"RI"
2020-07-09,"80-89",271,0,"RI"
2020-07-09,"90+",207,0,"RI"
2020-07-10,"0-9",0,0,"RI"
2020-07-10,"10-19",0,0,"RI"
2020-07-10,"20-29",0,0,"RI"
2020-07-10,"30-39",6,0,"RI"
2020-07-10,"40-49",12,0,"RI"
2020-07-10,"50-59",44,0,"RI"
2020-07-10,"60-69",84,0,"RI"
2020-07-10,"70-79",224,0,"RI"
2020-07-10,"80-89",271,0,"RI"
2020-07-10,"90+",207,0,"RI"
2020-07-11,"0-9",0,0,"RI"
2020-07-11,"10-19",0,0,"RI"
2020-07-11,"20-29",0,0,"RI"
2020-07-11,"30-39",6,0,"RI"
2020-07-11,"40-49",12,0,"RI"
2020-07-11,"50-59",44,0,"RI"
2020-07-11,"60-69",84,0,"RI"
2020-07-11,"70-79",224,0,"RI"
2020-07-11,"80-89",271,0,"RI"
2020-07-11,"90+",207,0,"RI"
2020-07-12,"0-9",0,0,"RI"
2020-07-12,"10-19",0,0,"RI"
2020-07-12,"20-29",0,0,"RI"
2020-07-12,"30-39",6,0,"RI"
2020-07-12,"40-49",12,0,"RI"
2020-07-12,"50-59",44,0,"RI"
2020-07-12,"60-69",84,0,"RI"
2020-07-12,"70-79",224,0,"RI"
2020-07-12,"80-89",271,0,"RI"
2020-07-12,"90+",207,0,"RI"
2020-07-13,"0-9",0,0,"RI"
2020-07-13,"10-19",0,0,"RI"
2020-07-13,"20-29",0,0,"RI"
2020-07-13,"30-39",6,0,"RI"
2020-07-13,"40-49",12,0,"RI"
2020-07-13,"50-59",44,0,"RI"
2020-07-13,"60-69",84,0,"RI"
2020-07-13,"70-79",224,0,"RI"
2020-07-13,"80-89",271,0,"RI"
2020-07-13,"90+",207,0,"RI"
2020-07-14,"0-9",0,0,"RI"
2020-07-14,"10-19",0,0,"RI"
2020-07-14,"20-29",0,0,"RI"
2020-07-14,"30-39",6,0,"RI"
2020-07-14,"40-49",12,0,"RI"
2020-07-14,"50-59",44,0,"RI"
2020-07-14,"60-69",84,0,"RI"
2020-07-14,"70-79",224,0,"RI"
2020-07-14,"80-89",271,0,"RI"
2020-07-14,"90+",207,0,"RI"
2020-07-15,"0-9",0,0,"RI"
2020-07-15,"10-19",0,0,"RI"
2020-07-15,"20-29",0,0,"RI"
2020-07-15,"30-39",6,0,"RI"
2020-07-15,"40-49",14,2,"RI"
2020-07-15,"50-59",45,1,"RI"
2020-07-15,"60-69",90,6,"RI"
2020-07-15,"70-79",229,5,"RI"
2020-07-15,"80-89",272,1,"RI"
2020-07-15,"90+",212,5,"RI"
2020-07-16,"0-9",0,0,"RI"
2020-07-16,"10-19",0,0,"RI"
2020-07-16,"20-29",0,0,"RI"
2020-07-16,"30-39",6,0,"RI"
2020-07-16,"40-49",14,0,"RI"
2020-07-16,"50-59",45,0,"RI"
2020-07-16,"60-69",90,0,"RI"
2020-07-16,"70-79",229,0,"RI"
2020-07-16,"80-89",272,0,"RI"
2020-07-16,"90+",212,0,"RI"
2020-07-17,"0-9",0,0,"RI"
2020-07-17,"10-19",0,0,"RI"
2020-07-17,"20-29",0,0,"RI"
2020-07-17,"30-39",6,0,"RI"
2020-07-17,"40-49",14,0,"RI"
2020-07-17,"50-59",45,0,"RI"
2020-07-17,"60-69",90,0,"RI"
2020-07-17,"70-79",229,0,"RI"
2020-07-17,"80-89",272,0,"RI"
2020-07-17,"90+",212,0,"RI"
2020-07-18,"0-9",0,0,"RI"
2020-07-18,"10-19",0,0,"RI"
2020-07-18,"20-29",0,0,"RI"
2020-07-18,"30-39",6,0,"RI"
2020-07-18,"40-49",14,0,"RI"
2020-07-18,"50-59",45,0,"RI"
2020-07-18,"60-69",90,0,"RI"
2020-07-18,"70-79",229,0,"RI"
2020-07-18,"80-89",272,0,"RI"
2020-07-18,"90+",212,0,"RI"
2020-07-19,"0-9",0,0,"RI"
2020-07-19,"10-19",0,0,"RI"
2020-07-19,"20-29",0,0,"RI"
2020-07-19,"30-39",6,0,"RI"
2020-07-19,"40-49",14,0,"RI"
2020-07-19,"50-59",45,0,"RI"
