"age","cum.deaths","daily.deaths","code","date"
"18-24",0,NA,"KS",2020-05-13
"25-34",0,NA,"KS",2020-05-13
"35-44",4,NA,"KS",2020-05-13
"45-54",5,NA,"KS",2020-05-13
"55-64",24,NA,"KS",2020-05-13
"65-74",29,NA,"KS",2020-05-13
"75-84",35,NA,"KS",2020-05-13
"85+",66,NA,"KS",2020-05-13
"18-24",0,0,"KS",2020-05-14
"25-34",0,0,"KS",2020-05-14
"35-44",4,0,"KS",2020-05-14
"45-54",6,1,"KS",2020-05-14
"55-64",24,1,"KS",2020-05-14
"65-74",29,1,"KS",2020-05-14
"75-84",37,2,"KS",2020-05-14
"85+",66,0,"KS",2020-05-14
"18-24",0,0,"KS",2020-05-15
"25-34",0,0,"KS",2020-05-15
"35-44",4,0,"KS",2020-05-15
"45-54",7,1,"KS",2020-05-15
"55-64",25,0,"KS",2020-05-15
"65-74",30,0,"KS",2020-05-15
"75-84",39,2,"KS",2020-05-15
"85+",66,0,"KS",2020-05-15
"18-24",0,0,"KS",2020-05-16
"18-24",0,0,"KS",2020-05-17
"25-34",0,0,"KS",2020-05-16
"25-34",0,0,"KS",2020-05-17
"35-44",4,0,"KS",2020-05-16
"35-44",4,0,"KS",2020-05-17
"45-54",7,0,"KS",2020-05-16
"45-54",7,0,"KS",2020-05-17
"55-64",25,0,"KS",2020-05-16
"55-64",25,0,"KS",2020-05-17
"65-74",30,0,"KS",2020-05-16
"65-74",30,0,"KS",2020-05-17
"75-84",39,0,"KS",2020-05-16
"75-84",39,0,"KS",2020-05-17
"85+",66,1,"KS",2020-05-16
"85+",66,1,"KS",2020-05-17
"18-24",0,0,"KS",2020-05-18
"25-34",0,0,"KS",2020-05-18
"35-44",4,0,"KS",2020-05-18
"45-54",7,0,"KS",2020-05-18
"55-64",25,0,"KS",2020-05-18
"65-74",30,0,"KS",2020-05-18
"75-84",39,0,"KS",2020-05-18
"85+",68,0,"KS",2020-05-18
"18-24",0,0,"KS",2020-05-19
"25-34",0,0,"KS",2020-05-19
"35-44",4,0,"KS",2020-05-19
"45-54",7,0,"KS",2020-05-19
"55-64",25,1,"KS",2020-05-19
"65-74",31,2,"KS",2020-05-19
"75-84",39,0,"KS",2020-05-19
"85+",68,1,"KS",2020-05-19
"18-24",0,0,"KS",2020-05-20
"25-34",0,0,"KS",2020-05-20
"35-44",4,0,"KS",2020-05-20
"45-54",7,0,"KS",2020-05-20
"55-64",26,0,"KS",2020-05-20
"65-74",33,1,"KS",2020-05-20
"75-84",39,0,"KS",2020-05-20
