"age","cum.deaths","daily.deaths","code","date"
"0-17",3,NA,"NYC",2020-04-14
"18-44",301,NA,"NYC",2020-04-14
"45-64",1529,NA,"NYC",2020-04-14
"65-74",1611,NA,"NYC",2020-04-14
"75+",3145,NA,"NYC",2020-04-14
"0-17",3,0,"NYC",2020-04-15
"18-44",309,8,"NYC",2020-04-15
"45-64",1581,52,"NYC",2020-04-15
"65-74",1683,72,"NYC",2020-04-15
"75+",3263,118,"NYC",2020-04-15
"0-17",3,0,"NYC",2020-04-16
"18-44",344,35,"NYC",2020-04-16
"45-64",1722,141,"NYC",2020-04-16
"65-74",1870,187,"NYC",2020-04-16
"75+",3623,360,"NYC",2020-04-16
"0-17",3,0,"NYC",2020-04-17
"18-44",353,9,"NYC",2020-04-17
"45-64",1788,66,"NYC",2020-04-17
"65-74",1962,92,"NYC",2020-04-17
"75+",3783,160,"NYC",2020-04-17
"0-17",3,0,"NYC",2020-04-18
"18-44",373,20,"NYC",2020-04-18
"45-64",1915,127,"NYC",2020-04-18
"65-74",2086,124,"NYC",2020-04-18
"75+",4070,287,"NYC",2020-04-18
"0-17",3,0,"NYC",2020-04-19
"18-44",380,7,"NYC",2020-04-19
"45-64",1988,73,"NYC",2020-04-19
"65-74",2179,93,"NYC",2020-04-19
"75+",4260,190,"NYC",2020-04-19
"0-17",3,0,"NYC",2020-04-20
"18-44",395,15,"NYC",2020-04-20
"45-64",2048,60,"NYC",2020-04-20
"65-74",2253,74,"NYC",2020-04-20
"75+",4401,141,"NYC",2020-04-20
"0-17",3,0,"NYC",2020-04-21
"18-44",414,19,"NYC",2020-04-21
"45-64",2153,105,"NYC",2020-04-21
"65-74",2378,125,"NYC",2020-04-21
"75+",4611,210,"NYC",2020-04-21
"0-17",3,0,"NYC",2020-04-22
"18-44",426,12,"NYC",2020-04-22
"45-64",2243,90,"NYC",2020-04-22
"65-74",2469,91,"NYC",2020-04-22
"75+",4801,190,"NYC",2020-04-22
"0-17",4,1,"NYC",2020-04-23
"18-44",434,8,"NYC",2020-04-23
"45-64",2331,88,"NYC",2020-04-23
"65-74",2546,77,"NYC",2020-04-23
"75+",4973,172,"NYC",2020-04-23
"0-17",5,1,"NYC",2020-04-24
"18-44",453,19,"NYC",2020-04-24
"45-64",2418,87,"NYC",2020-04-24
"65-74",2672,126,"NYC",2020-04-24
"75+",5196,223,"NYC",2020-04-24
"0-17",5,0,"NYC",2020-04-25
"18-44",458,5,"NYC",2020-04-25
"45-64",2458,40,"NYC",2020-04-25
"65-74",2727,55,"NYC",2020-04-25
"75+",5310,114,"NYC",2020-04-25
"0-17",5,0,"NYC",2020-04-26
"18-44",472,14,"NYC",2020-04-26
"45-64",2563,105,"NYC",2020-04-26
"65-74",2843,116,"NYC",2020-04-26
"75+",5575,265,"NYC",2020-04-26
"0-17",5,0,"NYC",2020-04-27
"18-44",479,7,"NYC",2020-04-27
"45-64",2620,57,"NYC",2020-04-27
"65-74",2884,41,"NYC",2020-04-27
"75+",5718,143,"NYC",2020-04-27
"0-17",5,0,"NYC",2020-04-28
"18-44",482,3,"NYC",2020-04-28
"45-64",2649,29,"NYC",2020-04-28
"65-74",2910,26,"NYC",2020-04-28
"75+",5772,54,"NYC",2020-04-28
"0-17",6,1,"NYC",2020-04-29
"18-44",497,15,"NYC",2020-04-29
"45-64",2742,93,"NYC",2020-04-29
"65-74",3027,117,"NYC",2020-04-29
"75+",6013,241,"NYC",2020-04-29
"0-17",6,0,"NYC",2020-04-30
"18-44",507,10,"NYC",2020-04-30
"45-64",2803,61,"NYC",2020-04-30
"65-74",3101,74,"NYC",2020-04-30
"75+",6152,139,"NYC",2020-04-30
"0-17",6,0,"NYC",2020-05-01
"18-44",531,24,"NYC",2020-05-01
"45-64",2908,105,"NYC",2020-05-01
"65-74",3217,116,"NYC",2020-05-01
"75+",6336,184,"NYC",2020-05-01
"0-17",6,0,"NYC",2020-05-02
"18-44",534,3,"NYC",2020-05-02
"45-64",2937,29,"NYC",2020-05-02
"65-74",3260,43,"NYC",2020-05-02
"75+",6417,81,"NYC",2020-05-02
"0-17",6,0,"NYC",2020-05-03
"18-44",538,4,"NYC",2020-05-03
"45-64",2973,36,"NYC",2020-05-03
"65-74",3296,36,"NYC",2020-05-03
"75+",6505,88,"NYC",2020-05-03
"0-17",6,0,"NYC",2020-05-04
"18-44",545,7,"NYC",2020-05-04
"45-64",3028,55,"NYC",2020-05-04
"65-74",3363,67,"NYC",2020-05-04
"75+",6593,88,"NYC",2020-05-04
"0-17",6,0,"NYC",2020-05-05
"18-44",549,4,"NYC",2020-05-05
"45-64",3078,50,"NYC",2020-05-05
"65-74",3403,40,"NYC",2020-05-05
"75+",6687,94,"NYC",2020-05-05
"0-17",6,0,"NYC",2020-05-06
"18-44",557,8,"NYC",2020-05-06
"45-64",3119,41,"NYC",2020-05-06
"65-74",3458,55,"NYC",2020-05-06
"75+",6797,110,"NYC",2020-05-06
"0-17",6,0,"NYC",2020-05-07
"18-44",566,9,"NYC",2020-05-07
"45-64",3170,51,"NYC",2020-05-07
"65-74",3511,53,"NYC",2020-05-07
"75+",6907,110,"NYC",2020-05-07
"0-17",6,0,"NYC",2020-05-08
"18-44",575,9,"NYC",2020-05-08
"45-64",3219,49,"NYC",2020-05-08
"65-74",3581,70,"NYC",2020-05-08
"75+",7006,99,"NYC",2020-05-08
"0-17",7,1,"NYC",2020-05-09
"18-44",577,2,"NYC",2020-05-09
"45-64",3242,23,"NYC",2020-05-09
"65-74",3603,22,"NYC",2020-05-09
"75+",7051,45,"NYC",2020-05-09
"0-17",8,1,"NYC",2020-05-10
"18-44",583,6,"NYC",2020-05-10
"45-64",3316,74,"NYC",2020-05-10
"65-74",3664,61,"NYC",2020-05-10
"75+",7180,129,"NYC",2020-05-10
"0-17",8,0,"NYC",2020-05-11
"18-44",587,4,"NYC",2020-05-11
"45-64",3348,32,"NYC",2020-05-11
"65-74",3708,44,"NYC",2020-05-11
"75+",7273,93,"NYC",2020-05-11
"0-17",8,0,"NYC",2020-05-12
"18-44",596,9,"NYC",2020-05-12
"45-64",3383,35,"NYC",2020-05-12
"65-74",3753,45,"NYC",2020-05-12
"75+",7356,83,"NYC",2020-05-12
"0-17",8,0,"NYC",2020-05-13
"18-44",601,5,"NYC",2020-05-13
"45-64",3413,30,"NYC",2020-05-13
"65-74",3788,35,"NYC",2020-05-13
"75+",7419,63,"NYC",2020-05-13
"0-17",8,0,"NYC",2020-05-14
"18-44",609,8,"NYC",2020-05-14
"45-64",3438,25,"NYC",2020-05-14
"65-74",3816,28,"NYC",2020-05-14
"75+",7475,56,"NYC",2020-05-14
"0-17",8,0,"NYC",2020-05-15
"18-44",610,1,"NYC",2020-05-15
"45-64",3449,11,"NYC",2020-05-15
"65-74",3841,25,"NYC",2020-05-15
"75+",7511,36,"NYC",2020-05-15
"0-17",8,0,"NYC",2020-05-16
"18-44",620,10,"NYC",2020-05-16
"45-64",3526,77,"NYC",2020-05-16
"65-74",3921,80,"NYC",2020-05-16
"75+",7678,167,"NYC",2020-05-16
"0-17",10,2,"NYC",2020-05-17
"18-44",625,5,"NYC",2020-05-17
"45-64",3556,30,"NYC",2020-05-17
"65-74",3963,42,"NYC",2020-05-17
"75+",7731,53,"NYC",2020-05-17
"0-17",10,0,"NYC",2020-05-18
"18-44",629,4,"NYC",2020-05-18
"45-64",3575,19,"NYC",2020-05-18
"65-74",3990,27,"NYC",2020-05-18
"75+",7776,45,"NYC",2020-05-18
"0-17",10,0,"NYC",2020-05-19
"18-44",631,2,"NYC",2020-05-19
"45-64",3596,21,"NYC",2020-05-19
"65-74",4010,20,"NYC",2020-05-19
"75+",7809,33,"NYC",2020-05-19
"0-17",10,0,"NYC",2020-05-20
"18-44",636,5,"NYC",2020-05-20
"45-64",3621,25,"NYC",2020-05-20
"65-74",4027,17,"NYC",2020-05-20
"75+",7856,47,"NYC",2020-05-20
"0-17",10,0,"NYC",2020-05-21
"18-44",641,5,"NYC",2020-05-21
"45-64",3633,12,"NYC",2020-05-21
"65-74",4050,23,"NYC",2020-05-21
"75+",7898,42,"NYC",2020-05-21
"0-17",10,0,"NYC",2020-05-22
"18-44",643,2,"NYC",2020-05-22
"45-64",3662,29,"NYC",2020-05-22
"65-74",4078,28,"NYC",2020-05-22
"75+",7940,42,"NYC",2020-05-22
"0-17",10,0,"NYC",2020-05-23
"18-44",645,2,"NYC",2020-05-23
"45-64",3680,18,"NYC",2020-05-23
"65-74",4091,13,"NYC",2020-05-23
"75+",7977,37,"NYC",2020-05-23
"0-17",10,0,"NYC",2020-05-24
"18-44",646,1,"NYC",2020-05-24
"45-64",3700,20,"NYC",2020-05-24
"65-74",4111,20,"NYC",2020-05-24
"75+",8002,25,"NYC",2020-05-24
"0-17",10,0,"NYC",2020-05-25
"18-44",646,0,"NYC",2020-05-25
"45-64",3705,5,"NYC",2020-05-25
"65-74",4114,3,"NYC",2020-05-25
"75+",8007,5,"NYC",2020-05-25
"0-17",10,0,"NYC",2020-05-26
"18-44",651,5,"NYC",2020-05-26
"45-64",3720,15,"NYC",2020-05-26
"65-74",4131,17,"NYC",2020-05-26
"75+",8053,46,"NYC",2020-05-26
"0-17",10,0,"NYC",2020-05-27
"18-44",651,0,"NYC",2020-05-27
"45-64",3728,8,"NYC",2020-05-27
"65-74",4140,9,"NYC",2020-05-27
"75+",8081,28,"NYC",2020-05-27
"0-17",10,0,"NYC",2020-05-28
"18-44",652,1,"NYC",2020-05-28
"45-64",3743,15,"NYC",2020-05-28
"65-74",4154,14,"NYC",2020-05-28
"75+",8114,33,"NYC",2020-05-28
"0-17",10,0,"NYC",2020-05-29
"18-44",653,1,"NYC",2020-05-29
"45-64",3761,18,"NYC",2020-05-29
"65-74",4173,19,"NYC",2020-05-29
"75+",8140,26,"NYC",2020-05-29
"0-17",10,0,"NYC",2020-05-30
"18-44",656,3,"NYC",2020-05-30
"45-64",3768,7,"NYC",2020-05-30
"65-74",4187,14,"NYC",2020-05-30
"75+",8164,24,"NYC",2020-05-30
"0-17",10,0,"NYC",2020-05-31
"18-44",657,1,"NYC",2020-05-31
"45-64",3781,13,"NYC",2020-05-31
"65-74",4206,19,"NYC",2020-05-31
"75+",8193,29,"NYC",2020-05-31
"0-17",11,1,"NYC",2020-06-01
