FID,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations,Hospitalizations_Percentage,Deaths,Deaths_Percentage
1,Male,284,49.6%,76,49.7%,110,45.6%,60,58.3%,38,50.0%,28,57.1%,5,45.5%
2,Female,289,50.4%,77,50.3%,131,54.4%,43,41.7%,38,50.0%,21,42.9%,6,54.5%
3,Unknown Sex,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,<10 Years,18,3.1%,2,1.3%,12,5.0%,0,0.0%,4,5.3%,0,0.0%,0,0.0%
5,10-19 Years,44,7.7%,15,9.8%,22,9.1%,3,2.9%,4,5.3%,1,2.0%,0,0.0%
6,20-29 Years,101,17.6%,23,15.0%,55,22.8%,14,13.6%,9,11.8%,3,6.1%,0,0.0%
7,30-39 Years,113,19.7%,32,20.9%,43,17.8%,20,19.4%,18,23.7%,5,10.2%,2,18.2%
8,40-49 Years,77,13.4%,24,15.7%,24,10.0%,20,19.4%,9,11.8%,2,4.1%,0,0.0%
9,50-59 Years,100,17.5%,27,17.6%,47,19.5%,16,15.5%,10,13.2%,9,18.4%,1,9.1%
10,60-69 Years,67,11.7%,17,11.1%,25,10.4%,17,16.5%,8,10.5%,9,18.4%,1,9.1%
11,70-79 Years,38,6.6%,9,5.9%,10,4.1%,12,11.7%,7,9.2%,16,32.7%,6,54.5%
12,80+ Years,15,2.6%,4,2.6%,3,1.2%,1,1.0%,7,9.2%,4,8.2%,1,9.1%
13,Unknown Age,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Hispanic,45,7.9%,10,6.5%,26,10.8%,8,7.8%,1,1.3%,4,8.2%,0,0.0%
15,Non-Hispanic,463,80.8%,134,87.6%,205,85.1%,88,85.4%,36,47.4%,43,87.8%,11,100.0%
16,Unknown Ethnicity,65,11.3%,9,5.9%,10,4.1%,7,6.8%,39,51.3%,2,4.1%,0,0.0%
17,White,343,59.9%,94,61.4%,142,58.9%,84,81.6%,23,30.3%,27,55.1%,6,54.5%
18,Black,16,2.8%,7,4.6%,1,0.4%,5,4.9%,3,3.9%,0,0.0%,0,0.0%
19,AI/AN,65,11.3%,21,13.7%,29,12.0%,1,1.0%,14,18.4%,7,14.3%,2,18.2%
20,Asian,55,9.6%,12,7.8%,34,14.1%,4,3.9%,5,6.6%,7,14.3%,2,18.2%
21,NHOPI,16,2.8%,3,2.0%,10,4.1%,1,1.0%,2,2.6%,4,8.2%,1,9.1%
22,Multiple,20,3.5%,8,5.2%,9,3.7%,2,1.9%,1,1.3%,0,0.0%,0,0.0%
23,Other,12,2.1%,2,1.3%,8,3.3%,2,1.9%,0,0.0%,4,8.2%,0,0.0%
24,Unknown Race,46,8.0%,6,3.9%,8,3.3%,4,3.9%,28,36.8%,0,0.0%,0,0.0%
25,Grand Total,573,100.0%,153,100.0%,241,100.0%,103,100.0%,76,100.0%,49,100.0%,11,100.0%
