Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
07/22/2020,02/01/2020,07/11/2020,United States,All,Under 1 year,11,8072,75,2,14,98,
07/22/2020,02/01/2020,07/11/2020,United States,All,1-4 years,9,1547,52,2,41,100,
07/22/2020,02/01/2020,07/11/2020,United States,All,5-14 years,16,2379,78,5,49,138,
07/22/2020,02/01/2020,07/11/2020,United States,All,15-24 years,190,14810,300,62,51,475,
07/22/2020,02/01/2020,07/11/2020,United States,All,25-34 years,935,30885,1113,416,149,1768,
07/22/2020,02/01/2020,07/11/2020,United States,All,35-44 years,2411,43783,2433,1009,242,4048,
07/22/2020,02/01/2020,07/11/2020,United States,All,45-54 years,6566,81840,6433,2912,571,10554,
07/22/2020,02/01/2020,07/11/2020,United States,All,55-64 years,15880,189744,17510,7316,1214,27072,
07/22/2020,02/01/2020,07/11/2020,United States,All,65-74 years,27167,288848,30025,12503,1421,45881,
07/22/2020,02/01/2020,07/11/2020,United States,All,75-84 years,34399,355738,37988,15390,1446,58246,
07/22/2020,02/01/2020,07/11/2020,United States,All,85 years and over,42666,449077,42822,16614,1355,70061,
07/22/2020,02/01/2020,07/11/2020,United States,All,All Ages,130250,1466723,138829,56231,6553,218441,
07/22/2020,02/01/2020,07/11/2020,United States,Male,Under 1 year,6,4497,50,2,8,62,
07/22/2020,02/01/2020,07/11/2020,United States,Male,1-4 years,4,906,26,1,25,54,
07/22/2020,02/01/2020,07/11/2020,United States,Male,5-14 years,13,1409,40,5,21,69,
07/22/2020,02/01/2020,07/11/2020,United States,Male,15-24 years,122,10964,186,37,27,295,
07/22/2020,02/01/2020,07/11/2020,United States,Male,25-34 years,640,21718,703,288,76,1122,
07/22/2020,02/01/2020,07/11/2020,United States,Male,35-44 years,1692,28788,1553,702,129,2649,
07/22/2020,02/01/2020,07/11/2020,United States,Male,45-54 years,4570,51441,4042,2042,338,6836,
07/22/2020,02/01/2020,07/11/2020,United States,Male,55-64 years,10455,116922,10693,4770,690,16921,
07/22/2020,02/01/2020,07/11/2020,United States,Male,65-74 years,16858,167703,18043,7803,789,27738,
07/22/2020,02/01/2020,07/11/2020,United States,Male,75-84 years,18734,184841,21136,8599,719,31878,
07/22/2020,02/01/2020,07/11/2020,United States,Male,85 years and over,16581,172964,18808,7092,552,28767,
07/22/2020,02/01/2020,07/11/2020,United States,Male,All ages,69675,762153,75280,31341,3374,116391,
07/22/2020,02/01/2020,07/11/2020,United States,Female,Under 1 year,5,3561,25,0,6,36,
07/22/2020,02/01/2020,07/11/2020,United States,Female,1-4 years,5,641,26,1,16,46,
07/22/2020,02/01/2020,07/11/2020,United States,Female,5-14 years,3,970,38,0,28,69,
07/22/2020,02/01/2020,07/11/2020,United States,Female,15-24 years,68,3845,114,25,24,180,
07/22/2020,02/01/2020,07/11/2020,United States,Female,25-34 years,295,9165,410,128,73,646,
07/22/2020,02/01/2020,07/11/2020,United States,Female,35-44 years,719,14992,880,307,113,1399,
07/22/2020,02/01/2020,07/11/2020,United States,Female,45-54 years,1996,30397,2391,870,233,3718,
07/22/2020,02/01/2020,07/11/2020,United States,Female,55-64 years,5425,72817,6816,2546,523,10149,
