ObjectId,Demographic,All_Cases,All_Cases_Percentage,Community_Cases,Community_Cases_Percentage,Secondary_Cases,Secondary_Cases_Percentage,Travel_Cases,Travel_Cases_Percentage,UI_Cases,UI_Cases_Percentage,Hospitalizations_Percentage,Deaths_Percentage,Hospitalized_Cases,Deceased_Cases,Recovered_Cases,Recovered_Cases__Percent_
1,Male,2175,49.0%,324,48.6%,456,49.0%,123,53.0%,1247,48.6%,57.1%,65.5%,105,19,647,49.2%
2,Female,2260,50.9%,343,51.4%,474,51.0%,109,47.0%,1318,51.3%,42.9%,34.5%,79,10,669,50.8%
3,Unknown Sex,3,0.1%,0,0.0%,0,0.0%,0,0.0%,3,0.1%,0.0%,0.0%,0,0,0,0.0%
4,<10 Years,223,5.0%,13,1.9%,61,6.6%,4,1.7%,145,5.6%,0.0%,0.0%,0,0,60,4.6%
5,10-19 Years,459,10.3%,51,7.6%,86,9.2%,29,12.5%,284,11.1%,0.5%,0.0%,1,0,126,9.6%
6,20-29 Years,1072,24.2%,174,26.1%,240,25.8%,40,17.2%,608,23.7%,6.5%,0.0%,12,0,335,25.5%
7,30-39 Years,829,18.7%,134,20.1%,168,18.1%,46,19.8%,473,18.4%,9.2%,6.9%,17,2,262,19.9%
8,40-49 Years,618,13.9%,109,16.3%,106,11.4%,39,16.8%,354,13.8%,10.3%,3.4%,19,1,179,13.6%
9,50-59 Years,557,12.6%,79,11.8%,133,14.3%,32,13.8%,312,12.1%,17.4%,10.3%,32,3,170,12.9%
10,60-69 Years,413,9.3%,66,9.9%,79,8.5%,26,11.2%,240,9.3%,21.2%,13.8%,39,4,123,9.3%
11,70-79 Years,192,4.3%,31,4.6%,33,3.5%,15,6.5%,113,4.4%,22.8%,44.8%,42,13,48,3.6%
12,80+ Years,75,1.7%,10,1.5%,24,2.6%,1,0.4%,39,1.5%,12.0%,20.7%,22,6,13,1.0%
13,Unknown Age,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0.0%,0.0%,0,0,0,0.0%
14,Hispanic,237,5.3%,51,7.6%,88,9.5%,26,11.2%,69,2.7%,5.4%,0.0%,10,0,131,10.0%
15,Non-Hispanic,1705,38.4%,497,74.5%,611,65.7%,164,70.7%,417,16.2%,75.5%,96.6%,139,28,983,74.7%
16,UI Ethnicity,2082,46.9%,0,0.0%,0,0.0%,0,0.0%,2082,81.1%,13.6%,3.4%,25,1,19,1.4%
17,Unknown Ethnicity,414,9.3%,119,17.8%,231,24.8%,42,18.1%,0,0.0%,5.4%,0.0%,10,0,183,13.9%
18,White,1096,24.7%,301,45.1%,389,41.8%,153,65.9%,248,9.7%,33.7%,41.4%,62,12,653,49.6%
19,Black,154,3.5%,42,6.3%,42,4.5%,14,6.0%,53,2.1%,3.3%,0.0%,6,0,70,5.3%
20,AI/AN,640,14.4%,139,20.8%,154,16.6%,11,4.7%,328,12.8%,23.4%,34.5%,43,10,206,15.7%
21,Asian,114,2.6%,25,3.7%,48,5.2%,8,3.4%,31,1.2%,6.5%,6.9%,12,2,71,5.4%
22,NHOPI,186,4.2%,45,6.7%,63,6.8%,2,0.9%,76,3.0%,17.9%,13.8%,33,4,78,5.9%
23,Multiple,134,3.0%,28,4.2%,34,3.7%,9,3.9%,61,2.4%,0.5%,0.0%,1,0,56,4.3%
24,Other,117,2.6%,13,1.9%,29,3.1%,10,4.3%,64,2.5%,3.3%,0.0%,6,0,45,3.4%
25,UI Race,1707,38.5%,0,0.0%,0,0.0%,0,0.0%,1707,66.5%,8.2%,3.4%,15,1,17,1.3%
26,Unknown Race,290,6.5%,74,11.1%,171,18.4%,25,10.8%,0,0.0%,3.3%,0.0%,6,0,120,9.1%
