"date","code","age","cum.deaths","daily.deaths"
2020-04-09,"TN","0-9",1,NA
2020-04-09,"TN","10-19",0,NA
2020-04-09,"TN","20-29",1,NA
2020-04-09,"TN","30-39",1,NA
2020-04-09,"TN","40-49",5,NA
2020-04-09,"TN","50-59",9,NA
2020-04-09,"TN","60-69",23,NA
2020-04-09,"TN","70-79",24,NA
2020-04-09,"TN","80+",30,NA
2020-04-10,"TN","0-9",1,0
2020-04-10,"TN","10-19",0,0
2020-04-10,"TN","20-29",1,0
2020-04-10,"TN","30-39",1,0
2020-04-10,"TN","40-49",5,0
2020-04-10,"TN","50-59",9,0
2020-04-10,"TN","60-69",26,3
2020-04-10,"TN","70-79",24,0
2020-04-10,"TN","80+",31,1
2020-04-11,"TN","0-9",1,0
2020-04-11,"TN","10-19",0,0
2020-04-11,"TN","20-29",1,0
2020-04-11,"TN","30-39",1,0
2020-04-11,"TN","40-49",5,0
2020-04-11,"TN","50-59",9,0
2020-04-11,"TN","60-69",27,1
2020-04-11,"TN","70-79",25,1
2020-04-11,"TN","80+",32,1
2020-04-12,"TN","0-9",1,0
2020-04-12,"TN","10-19",0,0
2020-04-12,"TN","20-29",1,0
2020-04-12,"TN","30-39",1,0
2020-04-12,"TN","40-49",5,0
2020-04-12,"TN","50-59",9,0
2020-04-12,"TN","60-69",27,0
2020-04-12,"TN","70-79",25,0
2020-04-12,"TN","80+",32,0
2020-04-13,"TN","0-9",1,0
2020-04-13,"TN","10-19",0,0
2020-04-13,"TN","20-29",1,0
2020-04-13,"TN","30-39",1,0
2020-04-13,"TN","40-49",6,1
2020-04-13,"TN","50-59",9,0
2020-04-13,"TN","60-69",28,1
2020-04-13,"TN","70-79",28,3
2020-04-13,"TN","80+",35,3
2020-04-14,"TN","0-9",1,0
2020-04-14,"TN","10-19",0,0
2020-04-14,"TN","20-29",1,0
2020-04-14,"TN","30-39",1,0
2020-04-14,"TN","40-49",7,1
2020-04-14,"TN","50-59",11,2
2020-04-14,"TN","60-69",29,1
2020-04-14,"TN","70-79",32,4
2020-04-14,"TN","80+",42,7
2020-04-15,"TN","0-9",1,0
2020-04-15,"TN","10-19",0,0
2020-04-15,"TN","20-29",1,0
2020-04-15,"TN","30-39",1,0
2020-04-15,"TN","40-49",7,0
2020-04-15,"TN","50-59",14,3
2020-04-15,"TN","60-69",34,5
2020-04-15,"TN","70-79",33,1
2020-04-15,"TN","80+",44,2
2020-04-16,"TN","0-9",1,0
2020-04-16,"TN","10-19",0,0
2020-04-16,"TN","20-29",1,0
2020-04-16,"TN","30-39",1,0
2020-04-16,"TN","40-49",7,0
2020-04-16,"TN","50-59",14,0
2020-04-16,"TN","60-69",34,0
2020-04-16,"TN","70-79",34,1
2020-04-16,"TN","80+",48,4
2020-04-17,"TN","0-9",1,0
2020-04-17,"TN","10-19",0,0
2020-04-17,"TN","20-29",1,0
2020-04-17,"TN","30-39",1,0
2020-04-17,"TN","40-49",7,0
2020-04-17,"TN","50-59",14,0
2020-04-17,"TN","60-69",34,0
2020-04-17,"TN","70-79",36,2
2020-04-17,"TN","80+",48,0
2020-04-18,"TN","0-9",1,0
2020-04-18,"TN","10-19",0,0
2020-04-18,"TN","20-29",1,0
2020-04-18,"TN","30-39",1,0
2020-04-18,"TN","40-49",7,0
2020-04-18,"TN","50-59",14,0
2020-04-18,"TN","60-69",35,1
2020-04-18,"TN","70-79",38,2
